"","id.exposure","id.outcome","outcome","exposure","method","nsnp","b","se","pval","lo_ci","up_ci","or","or_lci95","or_uci95"
"61","KsN3wf","bQtTCU","GCST012879","GCST90277250","MR Egger",19,0.0875125037851679,0.0450111758979875,0.0686053312329991,-0.000709400974887642,0.175734408545224,1.09145591168787,0.999290850590493,1.19212139934481
"62","KsN3wf","bQtTCU","GCST012879","GCST90277250","Weighted median",19,0.0830058364676906,0.027208260598338,0.00228263976638904,0.0296776456949481,0.136334027240433,1.0865481501329,1.03012241603103,1.14606464647758
"63","KsN3wf","bQtTCU","GCST012879","GCST90277250","Inverse variance weighted",19,0.0971788117356926,0.0301672828452653,0.00127596567240125,0.0380509373589727,0.156306686112412,1.1020574168032,1.03878414445176,1.16918472082758
"64","KsN3wf","bQtTCU","GCST012879","GCST90277250","Simple mode",19,0.0274196748558877,0.0862850800362409,0.754308770054463,-0.141699082015144,0.19653843172692,1.02779905368431,0.867882378612235,1.21718209838934
"65","KsN3wf","bQtTCU","GCST012879","GCST90277250","Weighted mode",19,0.0790207909415654,0.0283584090538249,0.0121838631046763,0.0234383091960686,0.134603272687062,1.08222682235104,1.02371514498829,1.14408280540718
"66","NM5Ymx","0IzSjw","GCST012879","GCST90277251","MR Egger",16,-0.128348348873344,0.397809130575152,0.751737333591111,-0.908054244800641,0.651357547053954,0.879546936588869,0.40330820010083,1.91814303172973
"67","NM5Ymx","0IzSjw","GCST012879","GCST90277251","Weighted median",16,-0.069692817775901,0.0810284167578832,0.389732040206276,-0.228508514621352,0.08912287906955,0.932680278708557,0.795719521925209,1.09321498131302
"68","NM5Ymx","0IzSjw","GCST012879","GCST90277251","Inverse variance weighted",16,-0.0704786869284592,0.0734565167136437,0.337326393565556,-0.214453459687201,0.0734960858302824,0.931947601980048,0.806982368069785,1.07626432398242
"69","NM5Ymx","0IzSjw","GCST012879","GCST90277251","Simple mode",16,-0.187805640978747,0.14508760903313,0.215090599421477,-0.472177354683681,0.0965660727261873,0.828775771627826,0.623642897120179,1.10138235007419
"70","NM5Ymx","0IzSjw","GCST012879","GCST90277251","Weighted mode",16,-0.117015305682741,0.124309274014433,0.361452704649737,-0.360661482751029,0.126630871385548,0.889571577558872,0.697214977819312,1.13499798021502
