"","id.exposure","id.outcome","outcome","exposure","method","nsnp","b","se","pval","lo_ci","up_ci","or","or_lci95","or_uci95"
"42","u5hqzI","qdac6V","GCST012879","GCST90277305","Weighted median",13,0.181754039249822,0.0406487468303281,7.77339410502742e-06,0.102082495462378,0.261425583037265,1.19931917215619,1.10747482960772,1.29878028669138
"43","u5hqzI","qdac6V","GCST012879","GCST90277305","Inverse variance weighted",13,0.12892246073709,0.0394057222548737,0.00106914851831827,0.0516872451175374,0.206157676356642,1.13760191193208,1.05304634561975,1.22894696459906
"44","u5hqzI","qdac6V","GCST012879","GCST90277305","Simple mode",13,-0.0770753877213696,0.15567411434615,0.629465653183621,-0.382196651839824,0.228045876397085,0.925820055511186,0.682360852493348,1.25614295142333
"45","u5hqzI","qdac6V","GCST012879","GCST90277305","Weighted mode",13,0.187015723251323,0.0424732296494293,0.000860635526861085,0.103768193138441,0.270263253364204,1.20564624157976,1.10934327172611,1.31030934867767
"46","NyaOUZ","IoEPey","GCST012879","GCST90277311","MR Egger",15,-0.18872438951057,0.0615005831279919,0.00897195604072305,-0.309265532441434,-0.0681832465797063,0.82801468478168,0.73398584709427,0.934089289225828
"47","NyaOUZ","IoEPey","GCST012879","GCST90277311","Weighted median",15,-0.164035471651277,0.039839784279826,3.8320641988625e-05,-0.242121448839736,-0.0859494944628184,0.848711916133136,0.784960839179422,0.917640575980037
"48","NyaOUZ","IoEPey","GCST012879","GCST90277311","Inverse variance weighted",15,-0.12749991963984,0.0316538530309263,5.62669505359185e-05,-0.189541471580456,-0.0654583676992245,0.880293486574744,0.827338405154747,0.936638040344539
"49","NyaOUZ","IoEPey","GCST012879","GCST90277311","Simple mode",15,-0.214366372267988,0.0979373748460236,0.046055525480879,-0.406323626966194,-0.0224091175697819,0.807052649141825,0.666094566375897,0.977840101639969
"50","NyaOUZ","IoEPey","GCST012879","GCST90277311","Weighted mode",15,-0.173362515337127,0.0370172901397148,0.000352154255682904,-0.245916404010968,-0.100808626663286,0.840832744821976,0.781987593219442,0.9041060381203
"51","mXzmYb","0Lfo1A","GCST012879","GCST90277330","MR Egger",11,0.168069133150798,0.0655399267846954,0.0304675181850122,0.039610876652795,0.296527389648801,1.18301839360982,1.04040584920812,1.34517940348412
"52","mXzmYb","0Lfo1A","GCST012879","GCST90277330","Weighted median",11,0.208599649871612,0.0412666658975271,4.30573670484138e-07,0.127716984712459,0.289482315030765,1.23195168777196,1.13623138633552,1.33573581865132
"53","mXzmYb","0Lfo1A","GCST012879","GCST90277330","Inverse variance weighted",11,0.203806403706882,0.0343687726589632,3.02957128194574e-09,0.136443609295314,0.271169198118449,1.2260607696585,1.14619024147792,1.31149695442992
"54","mXzmYb","0Lfo1A","GCST012879","GCST90277330","Simple mode",11,0.239972660124536,0.0751980771113452,0.0096343829526202,0.092584428986299,0.387360891262772,1.27121439500306,1.09700575673455,1.47308801995103
"55","mXzmYb","0Lfo1A","GCST012879","GCST90277330","Weighted mode",11,0.210257445757785,0.0425393754197843,0.000584864006849506,0.126880269935008,0.293634621580562,1.23399570602631,1.13528108236609,1.34129373433912
"56","qzc7HT","Tnn3eu","GCST012879","GCST90277336","MR Egger",11,0.281958289890499,0.109767711453823,0.0302531632463744,0.0668135754410064,0.497103004339991,1.32572342276444,1.0690961538167,1.64395184417397
"57","qzc7HT","Tnn3eu","GCST012879","GCST90277336","Weighted median",11,0.255786450717382,0.0566140701692854,6.24052369120996e-06,0.144822873185583,0.366750028249182,1.29147690452333,1.15583482279527,1.44303715550244
"58","qzc7HT","Tnn3eu","GCST012879","GCST90277336","Inverse variance weighted",11,0.196787048989134,0.052816971136856,0.000194673675514575,0.093265785560896,0.300308312417371,1.21748474849071,1.09775346351781,1.35027504997113
"59","qzc7HT","Tnn3eu","GCST012879","GCST90277336","Simple mode",11,0.295340388349808,0.131294848332696,0.0482251555239329,0.0380024856177236,0.552678291081893,1.34358362107007,1.03873381477047,1.73790139604406
"60","qzc7HT","Tnn3eu","GCST012879","GCST90277336","Weighted mode",11,0.260657653085603,0.0572229768746161,0.00104998898665035,0.148500618411355,0.37281468775985,1.29778329726662,1.16009351518921,1.45181527576208
